epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,4336.64,0.37782,0.26188,0.87567,0.88645,0.81895,0.8944,0.72364,0.73919,0.57422,0.97673,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,4392.94,0.35555,0.23132,0.81057,0.88931,0.80434,0.88619,0.70831,0.76397,0.5776,0.99301,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,4440.42,0.33681,0.22243,0.82389,0.87971,0.80508,0.88304,0.71686,0.7468,0.56809,0.99113,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,4485.71,0.33142,0.22453,0.81383,0.89522,0.81353,0.88918,0.71722,0.74033,0.5697,0.98638,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,4530.85,0.33167,0.21662,0.80474,0.80462,0.87398,0.88558,0.71659,0.74255,0.56866,0.98414,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,4576.23,0.32972,0.21984,0.8109,0.87856,0.81521,0.89357,0.72046,0.75017,0.55864,0.98871,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,4621.17,0.32251,0.21107,0.7966,0.86811,0.82134,0.87734,0.7187,0.74865,0.557,0.98644,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,4667.35,0.32499,0.21,0.80186,0.87108,0.83465,0.89394,0.72271,0.75073,0.56535,0.9861,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
98,4713.1,0.30975,0.20033,0.80136,0.86868,0.83495,0.89441,0.72568,0.75584,0.55782,0.98561,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05
99,4760.13,0.3198,0.21086,0.81363,0.88421,0.81276,0.89395,0.72633,0.74931,0.56302,0.98509,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
100,4808.39,0.31375,0.20481,0.80121,0.85972,0.83859,0.8966,0.72653,0.74543,0.54934,0.98385,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05
